"","UniqueID","StateAbbr","CityName","Cancer_value","Binge_value","Smoke_value","LPA_value","Sleep_value","Obesity_value"
"1","107000","AL","Birmingham",5.7,13,22.6,35.8,41.8,42.6
"2","1077580","DE","Wilmington",5.8,14.7,23.6,33.2,43.1,36.8
"3","1150000","DC","Washington",5.4,22.6,17.2,18,36.7,26.4
"4","1207300","FL","Boca Raton",6.6,21,13.6,22.1,36.1,21
"5","1207875","FL","Boynton Beach",6.4,18,18.7,30.6,41.5,26.8
"6","1210275","FL","Cape Coral",6.2,20.4,17.6,26.3,33.9,27.2
"7","1212875","FL","Clearwater",6.2,20.5,21.4,27.7,39.5,29
"8","1214400","FL","Coral Springs",6,18.7,15.1,24.6,36,25
"9","1216475","FL","Davie",6,18.9,15.1,24.9,35.1,24.6
"10","1216725","FL","Deerfield Beach",6.1,17.6,19.7,29.5,38.5,28.6
"11","1217200","FL","Deltona",6.1,17.5,21.1,33.7,38.2,33.2
"12","1224000","FL","Fort Lauderdale",6,18.1,18.1,27.4,37.7,28.1
"13","1225175","FL","Gainesville",6.3,16.1,17.6,29.3,38.5,29.4
"14","1230000","FL","Hialeah",4.7,14.7,16.4,45.3,34.7,30.2
"15","1232000","FL","Hollywood",5.9,17.7,17.3,29,37.1,27.7
"16","1235000","FL","Jacksonville",6.1,18.6,20.2,28.5,38.1,31.4
"17","1238250","FL","Lakeland",6.3,15.1,20.3,30.9,36.7,37.1
"18","1239425","FL","Largo",6.3,20.6,23.1,28.6,39.8,28.8
"19","1239550","FL","Lauderhill",5.6,13.9,22,35.4,44.7,35.8
"20","1243975","FL","Melbourne",6.4,18.7,21.5,28.5,36.6,27.8
"21","1245000","FL","Miami",4.9,15.2,16.9,41.6,35.2,29.8
"22","1245025","FL","Miami Beach",5.4,18.6,13.3,30.1,31.1,23.7
"23","1245060","FL","Miami Gardens",5.2,13.9,20.5,41.2,41.3,33.9
"24","1245975","FL","Miramar",5.3,16.7,14.1,27,38.9,28.4
"25","1253000","FL","Orlando",5.7,17.5,16.6,30.7,37.1,30.3
"26","1254000","FL","Palm Bay",6.2,18.1,22.4,30.3,37.9,29.5
"27","1254200","FL","Palm Coast",6.4,18.3,20.6,27.9,36.2,27.5
"28","1255775","FL","Pembroke Pines",5.6,18.2,13.4,25.5,36.1,25.6
"29","1257425","FL","Plantation",6.1,19,14.2,23,35.5,24.6
"30","1258050","FL","Pompano Beach",6,17.1,20.7,31.2,39.3,30
"31","1258715","FL","Port St. Lucie",6,18.5,20.7,30.3,37.6,30.2
"32","1263000","FL","St. Petersburg",6.2,20.2,20.8,26.9,40.3,29.3
"33","1269700","FL","Sunrise",5.8,17.2,16.9,28.6,38.5,28.2
"34","1270600","FL","Tallahassee",6.2,17.6,16.1,26.4,34.2,31.1
"35","1271000","FL","Tampa",6,17.3,19.3,30.7,35.5,29
"36","1276600","FL","West Palm Beach",6.2,17.6,17.6,31,41.3,27.2
"37","1301052","GA","Albany",5.8,12.3,24.4,37.7,47.5,39.6
"38","1303440","GA","Athens",6,13.7,20.8,31.2,38.6,31.6
"39","1304000","GA","Atlanta",5.7,14.9,16.8,27.1,38.3,29.1
"40","1304204","GA","Augusta",5.8,13.9,22.6,33.7,42.8,36.4
"41","1319000","GA","Columbus",6,13.6,21.4,32.4,41.6,34.8
"42","1342425","GA","Johns Creek",6,17,10.9,18,32.1,17.6
"43","1349000","GA","Macon",5.8,11.8,26.3,39.2,44.1,44
"44","135896","AL","Hoover",6.4,18,13.9,20.2,32.8,28.9
"45","1367284","GA","Roswell",6.3,17.7,12.9,20.2,32.2,21.4
"46","1368516","GA","Sandy Springs",6.3,16.8,12.6,20,32.8,22
"47","1369000","GA","Savannah",5.7,13.9,21.7,32.6,41.9,35.5
"48","137000","AL","Huntsville",6.2,14.3,18.9,25.9,38.3,33.3
"49","1380508","GA","Warner Robins",6,13.9,21.9,31.9,38.7,33.9
"50","150000","AL","Mobile",6,15,20.7,29.3,39.7,39.7
"51","15003","HI","Honolulu",5.1,18.3,14.1,21.2,47.4,23.2
"52","151000","AL","Montgomery",6,14.9,21.1,30,38.1,36.9
"53","1608830","ID","Boise City",6.3,18.1,13.9,18.1,27.8,25.1
"54","1652120","ID","Meridian",6.3,19.1,13.8,17.3,27.5,24.4
"55","1656260","ID","Nampa",6.2,14.6,19,25.8,32.9,34.2
"56","1702154","IL","Arlington Heights",6.4,25.5,13.3,16.8,29.9,24
"57","1703012","IL","Aurora",5.7,18.3,17.3,27.2,34,34.2
"58","1706613","IL","Bloomington",6.5,20.2,16.2,22.2,33.1,32.2
"59","1707133","IL","Bolingbrook",5.7,18.6,16,25,33.6,33.9
"60","1712385","IL","Champaign",6.2,19,16.3,23,30.6,31.9
"61","1714000","IL","Chicago",5.6,20.1,17.3,27.4,35.9,33.7
"62","1714351","IL","Cicero",5.2,18.9,18.7,36.2,35.6,36.7
"63","1718823","IL","Decatur",6.3,18.3,23.2,29.7,35.5,38.4
"64","1723074","IL","Elgin",5.9,19.2,17.4,26.2,33.9,33
"65","1724582","IL","Evanston",6.2,22.8,12.5,17.9,31.4,26.5
"66","1738570","IL","Joliet",6,19.1,19.8,28.6,34.2,37.6
"67","1751622","IL","Naperville",6.1,21.5,11.9,16.8,29.5,26.2
"68","1757225","IL","Palatine",6.2,24,13.8,19.1,30.8,25.2
"69","1759000","IL","Peoria",6.2,18.6,20.5,26.2,34.2,36.3
"70","1765000","IL","Rockford",6.2,17.1,23.3,30,39.3,36.8
"71","1768003","IL","Schaumburg",6.2,23.5,13.3,18.5,31.4,23.4
"72","1772000","IL","Springfield",6.4,20,20.8,25,34.7,35.9
"73","177256","AL","Tuscaloosa",6.1,14.8,22.1,30.2,41,36.9
"74","1779293","IL","Waukegan",5.5,15.1,20.4,34.6,37.5,35.6
"75","1805860","IN","Bloomington",6.4,16.7,19.4,25.2,33.8,30.8
"76","1810342","IN","Carmel",6.2,19.6,11.7,15,29.3,23.6
"77","1822000","IN","Evansville",6.2,17.1,26,30.9,36.9,37.2
"78","1823278","IN","Fishers",6.2,20,12.4,15.3,29.7,24.5
"79","1825000","IN","Fort Wayne",6.1,17.9,21.9,25.6,32.9,35.1
"80","1827000","IN","Gary",5.2,12.2,26.4,39.1,48.8,49
